job_id,cluster
3884436105,3
3884436108,2
3884436115,1
3884436123,1
3884436129,3
3884436130,1
3884436140,2
3884436145,2
3884436146,1
3884436148,1
3884436151,1
3884436165,1
3884436167,2
3884436168,2
3884436183,2
3884436192,1
3884436194,3
3884436197,1
3884436199,3
3884436202,1
3884436204,3
3884436206,2
3884436209,2
3884436210,2
3884436211,0
3884436218,2
3884436248,3
3884436258,1
3884436262,2
3884436265,1
3884436278,0
3884436300,2
3884436367,2
3884436419,2
3884436566,0
3884436569,0
3884436638,2
3884436639,2
3884436644,3
3884436647,2
3884436663,3
3884436665,1
3884436671,0
3884436679,2
3884436683,2
3884436684,1
3884436703,2
3884436723,3
3884436725,1
3884436739,3
3884436740,2
3884436742,0
3884436743,2
3884436744,2
3884436746,2
3884436753,1
3884436756,1
3884436762,1
3884436765,1
3884436790,1
3884436794,1
3884436805,2
3884436831,1
3884436833,1
3884436836,2
3884436837,2
3884436854,2
3884436855,2
3884436863,3
3884436869,3
3884436884,1
3884436886,2
3884436889,1
3884436891,1
3884436892,1
3884436895,1
3884436896,1
3884436900,1
3884436903,2
3884436905,2
3884436906,2
3884436907,1
3884436909,1
3884436911,2
3884436917,0
3884436918,2
3884436921,1
3884436924,4
3884436927,2
3884436928,1
3884436932,2
3884436935,2
3884436938,0
3884436942,2
3884436996,2
3884436999,1
3884437017,2
3884437020,3
3884437026,3
3884437031,2
3884437152,0
3884437155,1
3884437228,2
3884437232,1
3884437239,3
3884437244,1
3884437251,1
3884437267,3
3884437275,2
3884437283,1
3884437291,2
3884437305,1
3884437308,1
3884437311,3
3884437323,3
3884437325,1
3884437326,2
3884437331,1
3884437343,1
3884437356,2
3884437364,3
3884437392,2
3884437395,1
3884437398,1
3884437415,2
3884437416,3
3884437417,2
3884437418,1
3884437420,2
3884437430,0
3884437433,2
3884437436,1
3884437438,2
3884437439,1
3884437441,1
3884437442,1
3884437456,2
3884437460,1
3884437467,1
3884437471,1
3884437480,2
3884437487,1
3884437488,1
3884437492,1
3884437494,1
3884437498,2
3884437499,2
3884437500,2
3884437501,2
3884437507,2
3884437510,2
3884437511,2
3884437524,0
3884437535,0
3884437568,2
3884437583,2
3884437594,2
3884437602,2
3884437603,2
3884437606,1
3884437613,2
3884437614,2
3884437640,4
3884437645,3
3884437682,3
3884437686,0
3884437691,1
3884437692,2
3884437703,1
3884437704,2
3884437706,0
3884437718,1
3884437721,2
3884437722,1
3884437728,1
3884437730,1
3884437737,2
3884437742,2
3884437744,2
3884437746,1
3884437755,1
3884437806,2
3884437817,2
3884437819,2
3884437833,3
3884437837,3
3884437850,1
3884437856,1
3884437859,1
3884437909,2
3884437914,3
3884437917,0
3884437919,1
3884437939,2
3884437948,1
3884437987,1
3884438001,0
3884438082,0
3884438190,2
3884438195,1
3884438206,2
3884438208,3
3884438218,2
3884438221,1
3884438223,2
3884438226,2
3884438227,1
3884438231,2
3884438237,3
3884438242,1
3884438248,3
3884438250,2
3884438262,3
3884438265,1
3884438273,3
3884438294,3
3884438295,2
3884438307,1
3884438309,2
3884438311,2
3884438312,2
3884438314,2
3884438323,4
3884438326,2
3884438327,3
3884438330,2
3884438334,1
3884438338,1
3884438356,1
3884438357,1
3884438359,2
3884438364,1
3884438366,3
3884438370,1
3884438374,1
3884438389,3
3884438391,2
3884438394,2
3884438395,2
3884438402,1
3884438405,1
3884438406,3
3884438437,2
3884438447,2
3884438451,4
3884438462,2
3884438466,2
3884438467,1
3884438469,1
3884438470,1
3884438474,1
3884438475,1
3884438476,1
3884438477,1
3884438478,1
3884438479,1
3884438483,2
3884438484,2
3884438490,2
3884438493,2
3884438495,2
3884438496,2
3884438499,1
3884438511,2
3884438518,1
3884438525,0
3884438526,2
3884438527,1
3884438559,1
3884438562,2
3884438563,3
3884438590,1
3884438591,2
3884438592,2
3884438595,1
3884438596,2
3884438599,2
3884438609,0
3884438611,2
3884438636,2
3884438638,0
3884438642,1
3884438643,2
3884438645,1
3884438646,2
3884438648,2
3884438674,1
3884438691,1
3884438692,2
3884438693,2
3884438696,2
3884438705,1
3884438707,4
3884438730,2
3884438733,4
3884438736,0
3884438760,2
3884438762,2
3884438768,2
3884438770,2
3884438789,2
3884438790,2
3884438791,2
3884438792,1
3884438813,1
